iter	RMSE
736	214585.9758
737	214521.8839
738	214408.0289
739	214347.739
740	214299.5691
741	214234.7523
742	214139.7599
743	214079.8076
744	214027.2996
745	213978.6009
746	213886.8041
747	213795.9051
748	213696.2987
749	213611.6621
750	213563.22
751	213515.257
752	213463.3606
753	213374.9129
754	213284.4323
755	213235.7522
756	213183.1142
757	213102.6524
758	213035.4314
759	212969.9096
760	212913.221
761	212821.6151
762	212754.7759
763	212638.3884
764	212573.7432
765	212473.9594
766	212388.0091
767	212332.4352
768	212289.809
769	212225.1136
770	212190.8415
771	212084.2078
772	211999.7283
773	211924.6114
774	211903.3126
775	211874.8477
776	211743.3826
777	211661.3225
778	211638.3217
779	211516.9264
780	211487.2766
781	211409.912
782	211301.0361
783	211170.11
784	211078.8574
785	211026.9092
786	210986.4193
787	210915.242
788	210867.1629
789	210813.3558
790	210762.9906
791	210686.0216
792	210576.8658
793	210525.2333
794	210453.139
795	210374.7313
796	210340.8821
797	210273.1388
798	210221.6935
799	210144.3967
800	210118.4658
801	210051.4059
802	209993.997
803	209962.2937
804	209937.4349
805	209880.2922
806	209832.0331
807	209779.8377
808	209718.3569
809	209661.6862
810	209624.2644
811	209555.9744
812	209431.9294
813	209331.9267
814	209261.8685
815	209227.4793
816	209162.0583
817	209103.8307
818	209068.1402
819	209024.0553
820	208951.8391
821	208893.0461
822	208861.0308
823	208766.92
824	208674.7315
825	208627.671
826	208526.6213
827	208440.4429
828	208413.0389
829	208336.5814
830	208284.1546
831	208201.8032
832	208149.5414
833	208123.1109
834	208056.1828
835	208008.9729
836	207970.2925
837	207950.0126
838	207928.8435
839	207882.5758
840	207846.8486
841	207782.697
842	207740.4408
843	207691.6361
844	207640.0894
845	207592.3606
846	207463.9381
847	207408.3276
848	207357.2253
849	207300.0485
850	207235.1311
851	207203.1832
852	207133.5892
853	207038.9509
854	206936.2201
855	206890.2526
856	206827.6624
857	206741.0829
858	206698.7316
859	206639.5351
860	206592.2049
861	206551.884
862	206483.9601
863	206441.1498
864	206367.1862
865	206349.9737
866	206286.9865
867	206240.3796
868	206212.3505
869	206143.386
870	206117.2684
871	206055.3548
872	205949.9005
873	205855.453
874	205785.7766
875	205688.1678
876	205634.6067
877	205591.8843
878	205558.6936
879	205514.365
880	205461.7518
881	205391.9536
882	205310.3771
883	205248.992
884	205207.1441
885	205171.8275
886	205119.7509
887	205075.8262
888	205012.5017
889	204966.4399
890	204947.7785
891	204868.3391
892	204802.6791
893	204747.931
894	204706.5751
895	204644.6334
896	204620.7361
897	204552.2791
898	204496.4089
899	204458.4134
900	204403.1257
901	204367.2804
902	204310.4739
903	204203.0172
904	204148.863
905	204096.0552
906	204055.0439
907	204000.3756
908	203950.7527
909	203919.1945
910	203872.5345
911	203811.0164
912	203755.3837
913	203684.2226
914	203639.2892
915	203603.5236
916	203559.8838
917	203509.7188
918	203441.2485
919	203397.6184
920	203309.7896
921	203234.075
922	203198.2504
923	203136.0827
924	203055.0859
925	203015.4884
926	202974.6978
927	202946.8377
928	202883.6096
929	202777.4812
930	202703.1275
931	202643.3057
932	202601.2336
933	202562.9722
934	202498.1742
935	202475.1711
936	202382.8875
937	202330.149
938	202301.197
939	202259.8231
940	202183.3849
941	202158.6525
942	202049.0373
943	202008.3344
944	201942.1087
945	201878.893
946	201827.7779
947	201768.5133
948	201704.8067
949	201628.4508
950	201562.6726
951	201547.0956
952	201514.068
953	201474.4041
954	201427.3776
955	201341.4295
956	201274.6986
957	201230.0795
958	201168.4528
959	201142.8781
960	201100.2236
961	201039.0181
962	201010.9031
963	200956.9893
964	200855.7958
965	200769.9138
966	200681.0176
967	200618.4847
968	200549.924
969	200517.4794
970	200453.0277
971	200372.2328
972	200343.4071
973	200303.226
974	200273.6526
975	200196.653
976	200177.1275
977	200143.3736
978	200096.4074
979	200016.7369
